noise,omega,omega_error,alignment,alignment_error,alignment_power,alignment_power_error
0.0,0.9889096996880451,0.007475915194498553,1.0,5.766772200631274e-17,1.0,0.0
0.2631578947368421,1.0,0.007995104210639516,0.9967774828020832,4.943416077089995e-05,0.9785202892003457,0.00032651226159208235
0.5263157894736842,0.9431768491597475,0.0070025484086324655,0.98721083139898,0.000201760400926935,0.9170519765397471,0.0012615753251641326
0.7894736842105263,0.7548717032782616,0.0060873596976772654,0.9722123998191536,0.0005327497142607084,0.8273055877640357,0.003054559667072687
1.0526315789473684,0.6687191093745412,0.005074378465538385,0.9482837557697152,0.00084099342357054,0.6996127718946574,0.004184601867626703
1.3157894736842104,0.59016941551082,0.004540047157879643,0.9215603424060236,0.0012212133610869373,0.5772205383681109,0.005165316547660059
1.5789473684210529,0.40710371191772105,0.0031246034762185794,0.8876837428299744,0.0020094278669849194,0.4486619561113287,0.006876834828764777
1.8421052631578947,0.3045720736648295,0.0024018524542432636,0.8485249789553373,0.002437651644977644,0.3312131125633301,0.006453983333310986
2.1052631578947367,0.27839397667293503,0.001970173640132558,0.8004322483662987,0.00298917402957778,0.22368562050266927,0.005680029507224904
2.3684210526315788,0.14155467644971895,0.0021747163815462192,0.7572041929941941,0.003972312106911703,0.15396888957312505,0.005516092190900518
2.631578947368421,0.10275183943837005,0.0018199743723807302,0.7106048425858614,0.004674541033070083,0.10042970474020058,0.004528984090815882
2.894736842105264,0.11709937655433517,0.0012023668493377172,0.6400057342632339,0.005438333215610277,0.049675929485297615,0.0029096949700750732
3.1578947368421053,0.06465717193157547,0.001636937758202155,0.5906013709684438,0.006693589351475063,0.02893579347395816,0.0022790640675272693
3.4210526315789487,0.038031241338004715,0.004005908518122565,0.5073725505688069,0.007489294176017375,0.010414877024912502,0.0010789528801939986
3.6842105263157885,0.037777465088880045,0.004544189984286245,0.4445779557942876,0.010619415449679336,0.004282029693231905,0.0007369619056461513
3.947368421052632,0.01580059237866869,0.0002682519559221855,0.34198166361020216,0.01112450427694973,0.0007330099745656913,0.0001761403105538992
4.2105263157894735,0.04421613726382517,0.001426682452948313,0.2856175392565552,0.0096889415123093,0.0002182309882999503,5.4906840212915945e-05
4.473684210526316,0.02061830825498938,0.0005156695014926965,0.22201559193968784,0.009221150732174908,4.008144603108127e-05,1.2621748971370824e-05
4.7368421052631575,0.04107261211818631,0.0012211720072934544,0.1863521456088522,0.0093548129790916,1.2340719812404955e-05,4.816312336235777e-06
5.0,0.0,0.0,0.17208880144598432,0.008592716439358616,7.222696654541595e-06,2.8016483282431497e-06
