density,mean (102 averages),std,std_error
0.0001,1.0,0.0,0.0
0.2143785714285714,4.6686274509803924,0.3235723837966003,0.032038440079130925
0.4286571428571428,5.56813725490196,0.3702948527920298,0.036664653866893764
0.6429357142857142,5.7784313725490195,0.1793152271537099,0.01775485315845501
0.8572142857142856,7.1941176470588255,0.2781030257886899,0.027536302767905002
1.071492857142857,7.627450980392159,0.25442883528946186,0.025192208612427765
1.2857714285714283,8.654901960784313,0.291166126232816,0.0288297424487459
1.7143285714285712,8.231372549019609,0.3822109707604895,0.03784452535972282
2.1428857142857143,9.255882352941176,0.2350788910813402,0.023276278640987025
2.3571642857142856,11.714705882352945,0.22816402768493496,0.022591605140790026
2.571442857142857,12.31764705882353,0.19315605177627362,0.019125299007735262
3.0,13.194607843137254,0.2407606410410759,0.023838855717231038
3.5,14.491176470588234,0.2630186309616953,0.026042725120381124
5.125,21.088725490196083,0.15919146930119152,0.015762304219142147
6.75,27.34852941176471,0.21007493740187821,0.02080051831094484
8.375,33.615686274509805,0.3727726188366042,0.0369099892630044
10.0,40.0,0.0,0.0
