k_density,mean (6 averages),std,std_error
0,0.10618237630657638,0.08293769022242499,0.03385917024832645
1,0.2583889855663181,0.11154996391232165,0.04554008206851093
2,0.7514557764923989,0.0436089690972245,0.017803287082833335
3,0.7633739534693404,0.02722939466578802,0.011116353822673791
4,0.7947609881527655,0.011681076724075194,0.00476877960338092
5,0.825081367863234,0.017891089265194827,0.0073040066070521594
6,0.8143699361451788,0.014499645237234224,0.005919455380433366
7,0.8114838631348053,0.019155030839818874,0.00782000859413863
8,0.8227831083761545,0.01773100040059746,0.007238650601757985
9,0.8234401879552421,0.022586809544512244,0.00922102638357999
10,0.8407052147295359,0.014691507243403618,0.0059977827164569885
11,0.8273920620840228,0.020169726896955804,0.008234256524805203
12,0.8254957191280523,0.025949289240961217,0.01059375297137473
13,0.8272064047415633,0.017892912812306226,0.007304751067042969
14,0.8279804588909337,0.010072876921817025,0.004112234783384699
15,0.8312743299909591,0.013311724590953922,0.005434488807382705
16,0.837626243383338,0.018484944289782576,0.007546446905623484
17,0.831668521187027,0.013449405114925244,0.005490696645924166
18,0.8316525790934287,0.020061657133529875,0.008190137228635734
19,0.8312695459605708,0.01079169298443032,0.0044056902121045426
