,noise,averages,number of averages
0,0.0,0.9999999999913014,103
1,0.2631578947368421,0.9966289508187945,103
2,0.5263157894736842,0.9866129824918398,103
3,0.7894736842105263,0.9704374222909325,103
4,1.0526315789473684,0.947415216014416,103
5,1.3157894736842104,0.9170830490998966,103
6,1.5789473684210529,0.8813320287163934,103
7,1.8421052631578947,0.8446792512553738,103
8,2.1052631578947367,0.7956546158359136,103
9,2.3684210526315788,0.7431360575306074,103
10,2.631578947368421,0.6967274394109984,103
11,2.8947368421052633,0.6292101303626192,103
12,3.1578947368421053,0.5588119434481267,103
13,3.421052631578948,0.510797951165648,103
14,3.684210526315789,0.42418273785348115,103
15,3.947368421052632,0.34620888907026315,103
16,4.2105263157894735,0.26237059984703015,103
17,4.473684210526316,0.1841412788229602,103
18,4.7368421052631575,0.1506849537629567,103
19,5.0,0.12490767009711541,103
