k_density,average_0,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10,average_11,average_12,average_13,average_14,average_15
0,0.04497050584704676,0.12555891594888782,0.20268846200809856,0.0197999300697219,0.2026384442033208,0.04143799976238234,0.0911441462620071,0.08548019958245581,0.06440351536520385,0.045499704995381376,0.04425226289960812,0.03058939225769933,0.05661801168724096,0.13894671002138118,0.15282299728775395,0.06573305539730014
1,0.30854610966137896,0.2670002546862996,0.1606625789236208,0.11924157875877114,0.4336213320712916,0.26126205929654644,0.034482576967249504,0.36249987072338574,0.5325746742727915,0.44321870552939385,0.25851815681942786,0.35563805249943314,0.15390047236354146,0.23892762085208244,0.4108694869735639,0.4896346100307889
2,0.7421837532419916,0.6819914650684039,0.7343969367592029,0.8030428521783297,0.7552835903999682,0.7918360613064979,0.6656041645913979,0.7380978285455272,0.7372422536085146,0.7499213682047635,0.7528458368499125,0.6825267707942442,0.7572823753982467,0.7003528720663716,0.7632879019955363,0.7113843648465452
3,0.7302184486223777,0.8004418141006586,0.7830043236813449,0.7356959645513812,0.7593623920985206,0.7715207777617595,0.7353657892919472,0.7396187105444868,0.8140212231399326,0.7786221093275948,0.7198355954136909,0.7747140471374683,0.7748648035833556,0.7327881098373288,0.7733622318775258,0.7654447793299268
4,0.7989814128410092,0.7892943478711678,0.7771420084545109,0.7909008082973595,0.801074376035164,0.8111729754173818,0.8071099741940077,0.7777533169936931,0.7995044027608558,0.8241829384298858,0.7954943680451151,0.8273073632936451,0.8149599772199699,0.8116644774585384,0.8189241990871436,0.7576227035990204
5,0.8153917011839227,0.8424253054311284,0.8064356289183339,0.8266410709929188,0.8096580073505723,0.8499364933025277,0.7873116483635019,0.7906201977457639,0.8299893033466734,0.8008318479563145,0.7861187616274673,0.8039016974895601,0.8363550722476067,0.8148779688625569,0.796679432730116,0.8159397809231266
6,0.8237655950673481,0.8054188555580993,0.8020288372293859,0.8087000526921951,0.8396464509525586,0.8066598253714856,0.7845674813026159,0.8348437465082267,0.8551981968909992,0.8283937416867446,0.7820007757332496,0.8247241576046642,0.8014575467071773,0.8253183132072359,0.8496606983205788,0.8232971175043995
7,0.8292171834666808,0.8096216926818255,0.7850004969682094,0.7931566329937305,0.8314597590500494,0.820447413648336,0.8377438826272465,0.7986569299784746,0.8217767439944139,0.8545606975898766,0.8340333345931032,0.8246304707936111,0.8252905729728695,0.8008069809969863,0.8069344896474304,0.821949957354696
8,0.8255075015213574,0.8461557955955664,0.8236967749465649,0.8218499642035376,0.7913525857242523,0.8281360282656478,0.7976273581583113,0.8442693946160301,0.7938693530840957,0.8194481659598175,0.8473303688463784,0.8312240106119039,0.8430025300567092,0.8479670373259425,0.8261998895781114,0.8146535266521456
9,0.8338464355245803,0.8229794212043982,0.8530343345488293,0.7949675886037753,0.8365423326340896,0.7992710152157796,0.8148143253680709,0.8510468345555949,0.8362735119321562,0.8137829572357553,0.8427998844828368,0.8198923916442267,0.8603408599055937,0.8220990926461879,0.8293734499836104,0.8369925842267958
10,0.8464523947530781,0.8391088131114155,0.8522847735591565,0.8202204501869517,0.8276129536265403,0.8585519031400728,0.8298739423927147,0.8364318598752546,0.7961130515076763,0.8147416348584677,0.8372039404187257,0.8096744777127479,0.8282085990744161,0.8526516256857466,0.8274303225420131,0.8371138381841304
11,0.8405235117742453,0.789143601498182,0.8447398213293282,0.8299602501292869,0.8362233175746371,0.8237618701984575,0.8171368623003405,0.8118540154299638,0.8405985390723137,0.8292563889053668,0.8393137614901995,0.8402285387411699,0.8389258581808283,0.8303288849171578,0.8418292999371252,0.8359443633642331
12,0.8094588246220922,0.8198717580737453,0.8288848127683566,0.8122930297186367,0.8758515787247204,0.8066143108607626,0.8309740305957343,0.8225568995105876,0.8466931209527879,0.8564787625732815,0.8137767027809393,0.8179930316813406,0.8449856607198966,0.8116997645609164,0.8522336284995676,0.8307838943430457
13,0.8307312828921211,0.8325173630602376,0.8046866397955,0.8085823116543791,0.8529585876169569,0.8337622434301851,0.8281486185325755,0.8244238594400127,0.8292091493867257,0.8138098087649066,0.8587763465196888,0.8309959379845637,0.8249177057742637,0.8355735263733188,0.8421439988337422,0.8366385349876935
14,0.8317773054862272,0.821990327011673,0.8116181990743603,0.836686379078067,0.8386058140996062,0.8272047285956696,0.8363062760775488,0.8391635586445059,0.8401783900891324,0.813902412613032,0.8317492596980854,0.8120083910574927,0.8301317307055185,0.8594211169863245,0.8447848587460571,0.823114622220402
15,0.8355422241388916,0.8310665506389651,0.8552980094522598,0.8194718374076624,0.8200697301438941,0.8261976281640815,0.8185346208049253,0.8328671283408022,0.8243528424529645,0.8456706900042846,0.8234989257760965,0.8529313744254905,0.8431232894639141,0.8310870413222701,0.8163756553117589,0.8663059494950347
16,0.8710528932950792,0.8180642780936229,0.8277453550983641,0.8346352070545449,0.8442496730264676,0.8300100537319492,0.8180984124560551,0.8495571349187767,0.8359828003990106,0.8390064074105641,0.8411083364731962,0.8148081596220375,0.8521184652044931,0.8275954640624568,0.8388373106126997,0.8313700135229403
17,0.8475839336785698,0.8475703817438331,0.8136960565923325,0.8297942149922563,0.8254664794921104,0.8259000606230607,0.8402552820793258,0.8448380648257529,0.8442498241542264,0.8116023907628899,0.8225369562438163,0.8301451740473349,0.820106211682173,0.8265034342021714,0.8224205427140717,0.8340363252522436
18,0.8261295630413756,0.8478957817621648,0.8006231609954346,0.8489448664249967,0.8481877961719377,0.8181343061646618,0.827416306514947,0.816904907720509,0.8275260495956952,0.8347172667090347,0.8120708334684373,0.8518043975751829,0.8272704272549151,0.8201289527487392,0.8542942135130165,0.8306428387901251
19,0.8307454541843615,0.8460997971774642,0.8325195807205704,0.8261999326256366,0.8141973838864308,0.8378551271689609,0.8374498999835576,0.8349077897455951,0.8156561882709534,0.8423021075471162,0.833546242014522,0.8238541112469288,0.853062855513022,0.8282127933518558,0.8549438955125752,0.8366804531986327
